Geographic Area (FA),Postal Code,Total Resident Population
ایران,,92417681
البرز,AL,3028000
اردبیل,AR,1299000
بوشهر,BU,1277000
چهارمحال و بختیاری,CB,997000
آذربایجان شرقی,EA,4092000
فارس,FA,5136000
گیلان,GN,2569000
گلستان,GO,1893000
همدان,HD,1769000
هرمزگان,HR,2018000
ایلام,IL,597000
اصفهان,IS,5429000
کرمان,KR,3413000
کرمانشاه,KS,1999000
خراسان شمالی,NK,875000
خراسان رضوی,RK,7109000
خراسان جنوبی,SK,845000
خوزستان,KH,5115000
کهگیلویه و بویراحمد,KB,759000
کردستان,KD,1689000
لرستان,LR,1792000
مرکزی,MZ,1472000
مازندران,MN,3415000
قزوین,QV,1346000
قم,QM,1454000
سمنان,SM,787000
سیستان و بلوچستان,SB,3280000
تهران,TE,14425000
آذربایجان غربی,WA,3529000
یزد,YZ,1314000
زنجان,ZN,1119000
